Company_Name,Rating,Industry_Type,Locations,AvgSalaries,Total_Interviews,Total_Jobs,Total_Reviews
Sammaan Capital Limited,3.8,NBFC,New Delhi +192 other locations,7700,101,26,2200
Suzlon Group,4,Power,Pune +115 other locations,7300,127,17,2200
Landmark Group,4,Retail,Bangalore / Bengaluru +151 other locations,8900,143,15,2200
AGS Health,4,Analytics & KPO,Chennai +47 other locations,10400,158,22,2200
IKS Health,3.6,BPO,Mumbai +23 other locations,10000,230,29,2200
Blue Dart Express,4.1,Logistics,Mumbai +247 other locations,6400,100,1,2200
PhonePe,4,FinTech,Bangalore / Bengaluru +274 other locations,9800,302,128,2200
BlackBuck,3.8,Internet,Bangalore / Bengaluru +336 other locations,6300,172,7,2200
Domino's Pizza,3.9,Food Processing,New Delhi +228 other locations,4300,90,42,2200
Zomato,3.8,Internet,Gurgaon / Gurugram +193 other locations,12800,316,6,2200
